to rule sthg, so;dominer, régir qqch, qqn
authority;authorité
ambitious;ambitieux
ambition;l'ambition
to rival sthg, so;rivaliser qqn, qqch
bossy;qui aime à commander
authoritative;autoritaire
to impress so;impressionner qqn
to compete with sthg, so;concurrencer qqn, qqch
rivalry;la rivalité
weak;faible
to give in to sthg, so;céder
docile;docile
weakness;faiblesse
revolting;répugnant, révoltant
don't play the fool;ne fais pas l'imbécile
to refuse;refuser
to let so do sthg;laisser qqn faire qqch
to leave so alone;laisser tranquille qqn
to forbid, to ban;interdire, bannir
to allow so to do sthg;autoriser qqn à faire qqch
to enable so to do sthg;permettre, donner la possibilité à qqn de
compulsory;obligatoire
to demand;exiger
a demand;une exigence
in a friendly way;amicalement
friendship;l'amitié
good breeding;la bonne éducation
to bring so up;élever qqn (un enfant)
polite;polis
courteous;courtois
tactful;plein de tact
shy;timide
to blush;rougir
easy-going;insouciant, peu exigeant
casual;désinvolte
to make a fuss about sthg;faire des histories (pour qqch.)
I can't be bothered to do sthg;ça m'embête, j'ai la flemme de
coarse;grossier, vulgaire
boisterous;turbulent
to disturb so;déranger qqn
eager;passionné
curious;curieux
cheeky;culotté
to ill-treat so;maltraiter qqn
to deal with so;s'occuper de qqn, qqch
a gossip;une commère
formal (contraire: informal);cérémonieux, guindé
an acquaintance;une connaissance
to stand on ceremony;faire des cérémonies
prim;collé-monté
a social evening;une soirée entre amis
to sulk;bouder
to bore so;ennuyer qqn
to be, get bored;s'ennuyer de qqch
for fun;pour rire
unkind;peu aimable
harsh;dur, sévère
to humiliate so;humilier qqn
to do / mean / wish so harm;faire / vouloir / souhaiter du mal à qqn
vicious;vicieux
to make mishief , bad blood between people;semer la discorde entre les gens
faithful;fidèle
to stand up for so / by so;prendre la défense de qqn / soutenir qqn
to support so;soutenir qqn
to back so up / to protect so from / to shelter so from / to give so shelter;aider, soutenir qqn
malice (malice aforethought);la malveillance, la méchanceté
nasty;méchant
to envy so ,sthg (envious);envier
genuine;authentique, sincère
plain-dealing / to be plain-spoken, outspoken;franc et loyal / avoir son franc parler
falsehood;la fausseté
so-called;soi-disant
a liar;un menteur
to commit oneself;s'engager
to rely on so, sthg;avoir confiance en
to keep one's word;tenir sa parole
to betray so;trahir qqn
a betrayal;une trahison
to bribe so;soudoyer qqn
a bribe;un pot de vin
to trick so;duper qqn
to cheat / to fool;tromper / berner
to deceive / deceit / deception;tromper / la fourberie / la supercherie
fake;truqué
humbug;un enjoleur, des balivernes
frank;franc, direct
cunning;rusé
patient / impatient;patient / impatient
to put up with so;supporter, tolérer qqn
I can't stand, I can't bear;je ne supporte pas
a fit of outburst, temper, anger;un accès de olère
to keep one's temper / to lose one's temper;rester calme / perdre son calme
to be angry;être en colère
wrath;le courroux
touchy;susceptible
to annoy so;contrarier qqn
quarrel;la querelle
to speak one's mind;dire sa façon de penser
to quarrel with so;se quereller avec qqn
to abuse so / abusive;insulter qqn / grossier, injurieux
to argue that / to argue with so;faire valoir que / échanger des arguments avec qqn 
a topic;un sujet
to debate about sthg;débattre de
logical;logique
logic;la logique
partial / impartial;partial / impartial
an explanation;une explication
to explain sthg to so;expliquer qqch à qqn
a ground;une raison
groundless;sans fondement
to agree on sthg / to do sthg / that;être d'accord
to accept that;accepter
to acknowledge doing / that;reconnaître que
to accept;accepter
to disagree with / on;être en désaccord
to deny doing sthg;nier avoir fait qqch
to raise objections to sthg;soulever des objections
to come to a deadlock;aboutir à une impasse
to be mistaken about sthg, so;faire erreur sur qqch, qqn
to protest;protester
to challenge so to do sthg;défier qqn de faire qqch
to state that;faire état de qqch
to declare that;déclarer , affirmer
on no account;sous aucun prétexte
a testimony;un témoignage, une déclaration
to swear to do sthg, that  (to swear an oath);jurer de (prêter serment)
to witness sthg / a witness;assister à qqch, être témoin de / un témoin
to stress sthg;mettre l'accent sur qqch
to insist on doing sthg;insister sur
persuasive;persuasif
to act from conviction;agir par conviction
