count yourself lucky;estime toi heureux
christal clear;clair comme de l'eau de roche
all credit to you;c'est tout à votre honneur
long story short;pour faire court
a friend through thick and thin;un ami à toute épreuve
easier said than done;plus facile à dire qu'à faire
storm in a teacup;tempête dans un verre d'eau
one can't always win;on ne saurait toujours gagner
it never rains, but it pours;un malheur n'arrive jamais seul
what really happens underneath the hood;ce qu'il se passe en réalité
to scratch (I scratch your back and you scratch mine);gratter	
one thing leads to another;de fil en aiguille
what goes around, comes around;traduction à trouver
Make no mistake...;Ne vous y trompez pas
words fail me;les mots me manquent
stop beating about the bush;Cesse de tourner autour du pot
i'm sick and tired of...;J'en ai par-dessus la tête...
to give so food for thought;donner à qqn de quoi réfléchir
to leave things lying around;laisser trainer des affaires
a baker's dozen;treize à la douzaine 
two of a trade never agree;deux hommes du même métier ne s'entendent jamais 
you have your say;vous avez votre mot à dire
to loose the plot;perdre la tête
too good to be true;trop beau pour être vrai
as far as I am aware...;Autant que je sache...
As you make your bed, so you must lie on it;Comme on fait son lit, on se couche
it was love at first sight;ce fut le coup de foudre
Spare the road and spoil the child;Qui aime bien châtie bien.
A friend in need is a friend indeed;Un ami dans le besoin est un vrai ami.
poker face;ne rien laisser paraître
out in the sticks;reculé en campagné, à l'écart, isolé
... is here to stay;... est parti pour durer
