to burst into tears; fondre en larmes
numb; engourdi
to sob; sangloter
to heave, to breathe a sigh (of relief); pousser un soupir (de soulagement)
to strike up a friendship, to make friends with so; se lier d'amitier avec qqn
to sigh for sthg; soupirer pour qqch
to cry (for joy); pleurer (de joie)
to laugh; rire
to smile at sthg, so; sourire de, à qqch, à qqn
to laugh at so; se moquer de qqn
laughter;	le rire
a fit of laughter;	un fou-rire
to burst out laughing;	éclater de rire
to giggle;	pouffer de rire, glousser
to beam with joy;	rayonner de joie
glad;	content
to cheer up;	retrouver son entrain
to cheer so up;	remonter le moral de qqn
to feel comfortable	;	se sentir bien, rassuré
(to be) satisfied with so, sthg, to do sthg;	(être) satisfait
to be relieved at sthg, so, with sthg;	être soulagé
relief;	le soulagement
to solace so;	consoler qqn
soothing;	calmant, apaisant
to be relieved at sthg, so, with sthg;	être soulagé
to feel comfortable;	se sentir bien, rassuré
carefree;	insouciant, sans souci
to be relieved at sthg, so, with sthg;	être soulagé
wretched;	malheureux
a wretch;	un scélérat
to be in low spirits;	se sentir sans entrain
to despair;	désespérer
dejected, downcast;	découragé, abattu
depressed;	déprimé
to depress so;	déprimer qqn
a hopeless situation;	une situation désespérée
disheartened;	qui n'a plus le coeur à l'ouvrage
desperate;	désespéré
to wreck, to dash a hope;	anéantir un espoir
to be hopeful of sthg, so;	avoir bon espoir
a fond hope;	un fol espoir
to lose hope;	perdre espoir
to take heart;	prendre courage
a faint glimmer of hope;	la moindre lueur d'espoir
shattered, blighted hopes;	des espérances anéanties
to surprise so;	surprendre qqn
surprised;	surpris
to be amazed AT shtg;	être stupéfait de qqch
amazing;	stupéfiant
stupendous;	prodigieux
astounded;	atterré
unexpected;	inattendu
staggered by sthg;	renversé, frappé de stupeur par qqch
no wonder that...;	pas étonnant que...
to be afraid of;	avoir peur de
to frighten so;	effrayer qqn
to frighten so into doing sthg;	amener qqn à faire qqch en l'effrayant
frightened;	effrayé
to put so off;	déconcerter qqn
frightfully;	horriblement
to be/feel nervous about;	éprouver de l'appréhension
scared;	effrayé, terrifié
appalling;	épouvantable, effroyable
appalled at;	épouvanté, atterré
weird;	étrange, et inquiétant
awful;	épouvantable
awfully;	horriblement
to dread;	redouter
for feart that + should, might, ou lest;	de crainte que
horrified;	horrifié
to deter so from doing shtg; issuader qqn de faire qqch
panic-striken;	pris de panique
