count yourself lucky;estime toi heureux
to swapp places;permutter les places
christal clear;clair comme de l'eau de roche
NPC: evil / devil;NPC: le mal / le diable
I can't wait to (hear it);je suis impatient de l'entendre
contemptible, despicable;méprisable
all credit to you;c'est tout à votre honneur
persuasive;persuasif
to predict, predictable;prédire, prévisible
grateful;reconnaissant
long story short;pour faire court
a friend through thick and thin;un ami à toute épreuve
reasonable;raisonnable
easier said than done;plus facile à dire qu'à faire
storm in a teacup;tempête dans un verre d'eau
one can't always win;on ne saurait toujours gagner
downsides;des inconvenients
to echo so;faire écho à qqn
it never rains, but it pours;un malheur n'arrive jamais seul
invisible;invisible
fragi[aï]le;fragile
help me understand;aide-moi à comprendre
to be synonymous WITH;être synonyme DE
there's no hundred percent garantee;ça n'est pas sûr à 100%
do you need a hand?;tu as besoin d'aide
Giga[guiga];giga
what really happens underneath the hood;ce qu'il se passe en réalité
lend me hand;aide-moi
it's a matter of opinion;c'est une question de point de vue
I owe you an apology;je vous dois des excuses
side-effects;des effets secondaires
cleanliness;propreté
to scratch (I scratch your back and you scratch mine);gratter	
cameo role (in a film);une brève apparition (dans un film)
one thing leads to another;de fil en aiguille
lead the way;après vous, je vous suis...
at stake (there's a lot at stake);en jeu (l'enjeu est considerable)
hilarious;hilarant
outrageaous;scandaleux
childish;puéril
luckily;heureusement
just so you know;pour info
to canvass so;solliciter le suffrage de qqn, faire campagne
what goes around, comes around;traduction à trouver
breathtaking;a couper le souffle
by the way;à propos
muddle;confusion
to get muddled;s'embrouiller
tricky;difficile, délicat
Make no mistake...;Ne vous y trompez pas
compiler is going to yell AT me;le compilateur va m'engueuler
more on that later;j'y reviendrai par la suite
How on earth...?;Comment peut-on...?
a win-win situation;une situation gagnant-gagnant
to sort things out;tirer les choses au clair
As far as I am aware...;Autant que je sache...
to pretend;faire semblant
a painting attributed to Van Gogh;un "Van Gogh"
How many people out of 50...?;Combien de personnes sur 50...?
I don't know what future holds;je ne sais pas ce que l'avenir réserve
providing that;à condition que
a wishing-well;un puît à voeux
words fail me;les mots me manquent
to approve OF sthg;approuver qqchose
passerS-by;des passants
lookerS-on;des badauts
grown-upS;des adultes
to resent;ne pas aimer
resentful;éprouver du ressentiment
to make ends meet;joindre les 2 bouts
coward / cowardice;lâche / la lâcheté
to threaten / threat;menacer / la menace
to put up with so;supporter, tolérer qqn
to rule out;écarter une possibilité
to call off;annuler, résilier
a receipt / a recipe;un reçu / une recette
to be likely to doing sthg;être susceptible de faire qqchose
to boo;huer qqn
sceptical;sceptique
to split up with so;rompre avec qqn
reluctant;hésitant, peu enthousiaste
Stop beating about the bush;Cesse de tourner autour du pot
wealth / wealthy;la richesse / riche
the threshold;le pas de la porte
to thresh;battre
I'm sick and tired of...;J'en ai par-dessus la tête...
to give so food for thought;donner à qqn de quoi réfléchir
to leave things lying around;laisser trainer des affaires
to hold one's breath;retenir sa respiration
to rule out;écarter une possibilité
the cellar/the ceiling/the curtain;la cave/le plafond/le rideau
When the curtain rises...;Le lever de rideau
good at impression;bon en imitation
the beginner's luck;la chance du débutant
to ruin;gâcher, ruiner
it completely ruined our holidays;ça nous a gâché les vacances
easier said than done;plus facile à dire qu'à faire
tell us briefly;dites-nous brièvement		
to swear an oath;prêter serment
pointless;sans intérêt, futile
a baker's dozen;treize à la douzaine 
two of a trade never agree;deux hommes du même métier ne s'entendent jamais 
naughty/nasty;méchant/qui a mauvais gout
a snog;un baiser, un béquot
you have your say;vous avez votre mot à dire
trustworthy, reliable;sûr, digne de confiance
to sniff (a snifferdog);reniffler
otherwise;sinon
to campain for;faire campagne pour
all of a sudden;soudainement
a contender;un candidat
to wind so up;faire "marcher" qqn
to lick;lécher
to loose the plot;perdre la tête
to cuss;dire des gros mots
to make shg up;inventer qqchose
local pub, local shop;pour tout ce qui est "local"
to rumble (rumble of train, of stomach);gargouiller
too good to be true;trop beau pour être vrai
hasty;précipité, rapide
(no) sense of humour;(pas de) sens de l'humour
snow man;bonhomme de neige
posh, upper-class;de haut standing
Does it ring any bells?;Ca ne vous rappelle rien?
once in a blue moon;tous les 36 du mois
casual;désinvolte, cool
a gig;un concert
DIY;le bricolage
a bloke;un gars
brilliant;génial
handy;pratique, utile
