a flat;un appartement
to adorn;orner, parer, embellir
the doormat;le paillasson
a workshop;un atelier
a terrace;une terrasse
a lightning conductor;un paratonnerre
to own sthg;posséder qqch
the owner;le possesseur
to rent FROM so;louer (au propriétaire)
to belong to so;appartenir à qqn
the landlord, the landlady;le la propriétaire
to rent to so;louer (au locataire)
the lease;le bail
rent;le loyer
the tenant;le locataire (tenant farmer = le métayer)
to turn out so;expulser qqn (to turn out = s'avérer)
to give notice;donner congés
furnished apartments;appartement meublé
to stay;rester, demeurer
to move out;déménager
to move in;emmenager
a removal;un déménagement
to have a house built;faire bâtir une maison
an estate agent;un agent immobilier
a house for sale;une maison à vendre
an architect [arKiteKt];un architecte
the contractor;l'entrepeneur
a yard;un chantier
a pick;une pioche
a shovel;une pelle
a spade;une bêche (Let's call a spade a spade)
a pneumatic-drill;un marteau piqueur
an excavator;une pelleteuse
cement;le ciment
a bricklayer;un maçon
brick;la brique
mortar;le mortier
scaffolding;échaffaudage
a skyscraper;un gratte-ciel
concrete;le béton
reinforced concrete;le béton armé
laminated glass;le verre feuilleté
a crane;une grue
a concrete mixer;une bétonnière
steel frame;armature d'acier
timber;le bois de construction
a carpenter;une charpentier
the framework;la charpente
the roof;le toit
a beam;une poutre
a rafter;un chevron
a tile;une tuile
a tiler;un couvreur
shaving;les copeaux
a hammer;un marteau
to drive in a nail;enfoncer un clou
a screw;une vis
a screwdriver;un tourne-vis
to bore a hole;forer, percer un trou
a drill;une perceuse
to be on the mains;être raccordé au réseau
supply;fourniture, approvisionnement
a plumber;un plombier
a pipe;un tuyau
a locksmith;un serrurier
a lock;une serrure
to fit;ajuster
to plaster;plâtrer
to paint;peindre
a painter;un peintre
a brush;un pinceau
a ladder;une échelle
to paper;tapisser
a glazier;un vitrier
an electrician;un electricien
the electrical wiring;l'installation électrique
a socket;une prise femelle
to redecorate;repeindre, retapisser
furniture;des meubles
to settle;s'installer
a house-warming party;une pendaison de crémaillère
a hedge;une haie
a fence;une clôture
Fenced-in;clos
the cellar;la cave
a room;une pièce, une chambre
a partition;une cloison
small;petit
tiny;minuscule
the ceiling;le plafond
low;bas
to be cramped;être à l'étroit
roomy, commodious;vaste, spacieux
a window;une fenêtre
a bow-window;une fenêtre en saillie
to look, to open to;donner sur
light;clair
dimly lit;mal éclairé
lit;éclairé / to light, lit, lit
dark;sombre, obscur
gloomy;sombre, lugubre
a blind;un store
a shutter;un volet
ajar;entrebaillé
to slam;claquer
a sash-window;une fenêtre à guillotine
to slide;glisser, coulisser
convenient;commode
