to happen, to occur;	arriver, survenir
an era; une ère
currently; actuellement
hardly ever; presque jamais
short-lived; éphémère
temporary; temporaire
contemporary; contemporain
usually / as usual; habituellement, comme d'habitude
from now on; à partir de ce moment
at last!; enfin!
it's taking forever!; cela n'en finit pas!
how time flies!; comme le temps passe!
long time no see; ça fait un bail
Easter eggs (Easter Sunday);des oeufs de Pâques (Lundi de Pâques)
on a daily basis;	quotidiennement
a stopwatch; un chronomètre
a quarter of an hour; un quart d'heure
half an hour; une demi-heure
my watch is (five minutes) fast; ma montre avance (de cinq minutes)
my watch is (five minutes) slow; ma montre retarde (de cinq minutes)
better late than never; mieux vaut tard que jamais
to take place	;avoir lieu
formerly;	autrefois
to pass, to elapse;	passer, s'écouler
quickly, hasty	;rapidement
to kill time;	tuer le temps
by Sunday;	d'ici Dimanche
when the clock strikes midnight;	aux douze coups de minuit
lasting	;durable
everlasting;	éternel
to have a good time;	s'amuser, passer un bon moment,
how long does it take?;	combien de temps faut-il?
to be ON time;	être à l'heure
to be IN time	;arriver juste à temps
in this day and age;	à notre époque
to be late;	être en retard
sooner or later;	tôt ou tard
to last	;durer
it's hightime;	il est grand temps
it's hightime they left	; il est grand temps qu'ils 
without further delay	;sans plus attendre
to hurry up;	se hâter
to make up for lost time;	rattraper le temps perdu
to catch up on work ; rattraper du retard dans son travail	
hurried;	hâtif
to postpone;	remettre à plus tard
spare time, time to spare;	des loisirs
to save time	;gagner du temps
to waste one's time;	perdre son temps
to end, to come to an end	;se terminer, finir
to go on, to continue;	continuer
to stop, to leave off	;cesser, s'arrêter
later on;	plus tard
up-to-date;	à la dernière mode
outdated;	démodé, dépassé
oldfashioned ;démodé pour un vêtement
former;	précédent, ancien
the former;	renvoie au premier cité
the later	;renvoie au dernier cité
to tell the time;	dire l'heure
dawn;	l'aube
daybreak, peep of day;	le point du jour
to rise;	se lever
sunrise	;le lever du soleil
sunset;	le coucher du soleil
it is broad daylight;	il fait grand jour
it is pitch dark;	il fait nuit noire
midday, noon;	midi
afternoon;	après-midi
evening;	soir
twilight;	crépuscule
darkness;	obscurité
midnight;	minuit
an hourglass;	un sablier
un sundial;	un cadran solaire
a shadow; 	une ombre
a clock	;une horloge
a watch;	une montre
the hands	;les aiguilles
the spring;	le ressort
a battery;	une pile
the dial;	le cadran
clockwise;	dans le sens des aiguilles d'une montre
counterclockwise;	en sens inverse
LCD liquid crystal display	; affichage à cristaux liquide
to be slow;	retarder (pour une montre)
to be fast;	avancer (pour une montre)
the watchmaker;	l'horloger
the right time;	l'heure juste
accurate;	exact
time lag, jet lag	;décalage horaire
a quarter TO six;	six heures moins le quart
five to ten	; dix heures moins cinq
ten past five	;cinq heures dix
it's 5 (o'clock) sharp;	il est 5 heures précises
a.m;le matin
p.m	;l'après-midi
a fortnight;	quinze jours
a leap year (to leap = sauter -> to play leapfrog);	une année bissextile
a quarter;	un trimestre civil (= un quart d'année)
a term;	un trimestre scolaire
daily	;quotidien
weekly;	hebdomadaire
monthly;mensuel
quartly	;trimestriel
yearly;	annuel
every other day;	tous les 2 jours
once;	une fois
twice	;2 fois
three, four, ten times;	trois, quatre, dix fois
B.C. (before Christ);	avant J.C.
A.D. (Anno Domini);	après J.C.
the day before yesterday;	avant-hier
the day after tomorrow;	après-demain
the last two;	les deux dernier(e)s
the last but one;	l'avant-dernier
the first two	;les deux premiers
Easter Sunday	;le dimanche de Pâques
Boxing Day	;le lendemain de Noël
New Year's Day;	le jour de l'an
New Year's Eve;	la Saint Sylvestre
Labour Day;	la fête du travail
a boy of 12	, a twelve-year[sans S] old boy	;un garçon de 12 ans	
youth;	la jeunesse
teenagers	;les adolescents
grown-ups	;les grandes personnes
infancy;	la première enfance
childhood	;l'enfance
manhood;	l'âge adulte (pour l'homme)
womanhood	;l'âge adulte (pour la femme)
to be in one's prime;	être dans la fleur de l'âge
to be in one's teens;	avoir moins de 20 ans
to be in one's forties;	avoir la quarantaine
to be in one's early forties;	avoir entre 40 et 45 ans
to be in one's late forties;	avoir entre 46 et 49 ans
